Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdY/90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Sahal Abdul Samad,in IND,"MF,FW",Kerala Blasters,25,1997,14,1,0.07,0,0,14,10,7,23,7,12,0
2,Ayush Adhikari,in IND,MF,Kerala Blasters,22,2000,1.2,0,0,0,0,0,2,0,5,1,1,0
3,Gani Ahammed Nigam,in IND,MF,NorthEast Utd,24,1998,3.4,2,0.59,0,0,5,4,0,3,5,8,0
4,Alex,br BRA,MF,East Bengal,33,1988,13.3,5,0.38,0,0,22,37,7,34,22,18,0
5,Anwar Ali,in IND,DF,Goa,21,2000,20,2,0.1,0,0,11,7,1,4,24,15,0
6,Rahim Ali,in IND,"MF,FW",Chennaiyin,22,2000,8.9,1,0.11,0,0,13,8,6,11,3,8,0
7,Wahengbam Angousana Luwang,in IND,MF,East Bengal,26,1996,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
8,Aniket Anil Jadhav,in IND,MF,Odisha,22,2000,0.9,0,0,0,0,2,2,0,4,0,2,0
9,Aniket Anil Jadhav,in IND,MF,East Bengal,22,2000,2.1,0,0,0,0,3,0,0,9,3,1,0
10,Fares Al Arnaout,sy SYR,DF,Goa,25,1997,11.3,1,0.09,0,0,9,8,1,0,21,16,0
11,Mohammad Asif Khan,in IND,MF,Mumbai City,21,2001,0.2,0,0,0,0,0,0,0,0,1,1,0
12,Leon Augustine,in IND,MF,Bengaluru,23,1998,1.6,0,0,0,0,1,5,2,2,0,2,0
13,Sajal Bag,in IND,MF,Chennaiyin,19,2003,1.8,0,0,0,0,4,1,0,2,1,4,0
14,Ravi Bahadur Rana,in IND,MF,Mohun Bagan,19,2002,0.1,0,0,0,0,0,0,0,1,0,0,0
15,Nikhil Barla,in IND,DF,Jamshedpur,18,2003,0.9,1,1.11,0,0,1,0,0,3,4,2,0
16,Vincy Barretto,in IND,"MF,FW",Chennaiyin,22,1999,10.8,0,0,0,0,8,20,6,23,7,10,0
17,Edu Bedia,es ESP,MF,Goa,33,1989,16.7,8,0.48,1,1,20,18,1,67,22,14,0
