Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
1,Sahal Abdul Samad,in IND,"MF,FW",Kerala Blasters,25,1997,19,16,1263,14,3,2,5,3,0,0,1,0,0.21,0.14,0.36,0.21,0.36
2,Ayush Adhikari,in IND,MF,Kerala Blasters,22,2000,6,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Gani Ahammed Nigam,in IND,MF,NorthEast Utd,24,1998,8,2,305,3.4,0,2,2,0,0,0,2,0,0,0.59,0.59,0,0.59
4,Alex,br BRA,MF,East Bengal,33,1988,17,13,1198,13.3,1,1,2,1,0,0,5,0,0.08,0.08,0.15,0.08,0.15
5,Anwar Ali,in IND,DF,Goa,21,2000,20,20,1797,20,1,2,3,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15
6,Rahim Ali,in IND,"MF,FW",Chennaiyin,22,2000,15,8,798,8.9,3,1,4,3,0,0,1,0,0.34,0.11,0.45,0.34,0.45
7,Wahengbam Angousana Luwang,in IND,MF,East Bengal,26,1996,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Aniket Anil Jadhav,in IND,MF,Odisha,22,2000,5,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Aniket Anil Jadhav,in IND,MF,East Bengal,22,2000,6,0,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Fares Al Arnaout,sy SYR,DF,Goa,25,1997,19,12,1016,11.3,1,0,1,1,0,0,1,0,0.09,0,0.09,0.09,0.09
11,Mohammad Asif Khan,in IND,MF,Mumbai City,21,2001,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Leon Augustine,in IND,MF,Bengaluru,23,1998,5,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Sajal Bag,in IND,MF,Chennaiyin,19,2003,5,2,159,1.8,1,0,1,1,0,0,0,0,0.57,0,0.57,0.57,0.57
14,Ravi Bahadur Rana,in IND,MF,Mohun Bagan,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
