Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1,Sahal Abdul Samad,in IND,"MF,FW",Kerala Blasters,25,1997,19,1263,66,70.2,14,16,74,0,3,29,0,1.55,19,22,-3,-0.21,-0.72,Matches
2,Ayush Adhikari,in IND,MF,Kerala Blasters,22,2000,6,107,18,5.9,1.2,1,61,0,5,9,7,0.86,0,1,-1,-0.84,-0.89,Matches
3,Gani Ahammed Nigam,in IND,MF,NorthEast Utd,24,1998,8,305,38,16.9,3.4,2,82,1,6,24,6,0.13,5,9,-4,-1.18,0.69,Matches
4,Alex,br BRA,MF,East Bengal,33,1988,17,1198,70,66.6,13.3,13,85,7,4,24,0,1.12,16,22,-6,-0.45,1.04,Matches
5,Anwar Ali,in IND,DF,Goa,21,2000,20,1797,90,99.8,20,20,90,19,0,,0,1.35,35,35,0,0,-30,Matches
6,Faisal Ali,in IND,FW,Bengaluru,22,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
7,Rahim Ali,in IND,"MF,FW",Chennaiyin,22,2000,15,798,53,44.3,8.9,8,72,1,7,31,1,1.4,22,16,6,0.68,1.31,Matches
8,Wahengbam Angousana Luwang,in IND,MF,East Bengal,26,1996,1,2,2,0.1,0,0,,0,1,2,3,3,0,1,-1,-45,-44.25,Matches
9,Aniket Anil Jadhav,in IND,MF,Odisha,22,2000,5,85,17,4.7,0.9,0,,0,5,17,1,0.83,1,1,0,0,0.1,Matches
10,Aniket Anil Jadhav,in IND,MF,East Bengal,22,2000,6,193,32,10.7,2.1,0,,0,6,32,0,0.5,0,6,-6,-2.8,-2.24,Matches
11,Arsh Anwer,in IND,GK,Mohun Bagan,20,2002,0,,,,,0,,0,0,,20,3,,,,,,Matches
12,Fares Al Arnaout,sy SYR,DF,Goa,25,1997,19,1016,53,56.4,11.3,12,72,7,7,22,0,1.42,26,17,9,0.8,1.72,Matches
13,Mohammad Asif Khan,in IND,MF,Mumbai City,21,2001,2,22,11,1.2,0.2,0,,0,2,11,1,1.5,0,1,-1,-4.09,-5.81,Matches
14,Leon Augustine,in IND,MF,Bengaluru,23,1998,5,146,29,8.1,1.6,1,82,0,4,16,15,0.6,0,2,-2,-1.23,-1.56,Matches
15,Sajal Bag,in IND,MF,Chennaiyin,19,2003,5,159,32,8.8,1.8,2,55,0,3,17,10,2.4,3,4,-1,-0.57,-0.57,Matches
16,Ravi Bahadur Rana,in IND,MF,Mohun Bagan,19,2002,1,6,6,0.3,0.1,0,,0,1,6,15,0,0,0,0,0,-0.35,Matches
17,Nikhil Barla,in IND,DF,Jamshedpur,18,2003,1,81,81,4.5,0.9,1,81,0,0,,7,3,2,0,2,2.22,2.9,Matches
18,Vincy Barretto,in IND,"MF,FW",Chennaiyin,22,1999,16,974,61,54.1,10.8,12,73,3,4,24,1,1.25,16,18,-2,-0.18,-0.29,Matches
19,Edu Bedia,es ESP,MF,Goa,33,1989,18,1503,84,83.5,16.7,17,87,14,1,32,0,1.28,31,30,1,0.06,0.06,Matches
20,Joseba Beitia,es ESP,MF,NorthEast Utd,31,1990,5,450,90,25,5,5,90,5,0,,0,0.2,7,14,-7,-1.4,0.47,Matches
21,Emil Benny,in IND,"MF,FW",NorthEast Utd,21,2000,16,972,61,54,10.8,10,82,7,6,26,1,0.25,13,28,-15,-1.39,0.79,Matches
22,Hardik Bhatt,in IND,DF,Mumbai City,25,1997,1,88,88,4.9,1,1,88,0,0,,3,0,0,1,-1,-1.02,-2.81,Matches
23,Arindam Bhattacharya,in IND,GK,NorthEast Utd,33,1989,10,900,90,50,10,10,90,10,0,,9,0.36,13,30,-17,-1.7,0.1,Matches
24,Rahul Bheke,in IND,DF,Mumbai City,31,1990,15,1334,89,74.1,14.8,15,89,13,0,,0,2.35,44,13,31,2.09,1.71,Matches
25,Namgyal Bhutia,in IND,"DF,MF",Bengaluru,22,1999,10,858,86,47.7,9.5,10,86,8,0,,10,0.6,6,14,-8,-0.84,-1.99,Matches
26,Gaurav Bora,in IND,DF,NorthEast Utd,24,1998,14,1073,77,59.6,11.9,12,86,10,2,23,2,0.29,10,33,-23,-1.93,-0.44,Matches
27,Rowllin Borges,in IND,MF,Mumbai City,30,1992,15,388,26,21.6,4.3,2,72,0,13,19,5,2.13,6,3,3,0.7,-1.22,Matches
28,Subashish Bose,in IND,DF,Mohun Bagan,26,1995,19,1654,87,91.9,18.4,18,89,17,1,45,0,1.74,22,15,7,0.38,0.38,Matches
29,Hugo Boumous,fr FRA,"MF,FW",Mohun Bagan,27,1995,16,1245,78,69.2,13.8,15,82,3,1,12,0,1.95,16,11,5,0.36,0.04,Matches
