Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,Cmp,Cmp,Cmp,Cmp%,Cmp%,Cmp%,Cmp,Cmp%
1,Sahal Abdul Samad,in IND,"MF,FW",Kerala Blasters,25,1997,19,1263,66,70.2,9.68,16,74,0,3,29,0,1.55,19,22,-3,-0.21,-0.72,Matches,271,17,119,94,70.4,78.32,46,51.92
2,Ayush Adhikari,in IND,MF,Kerala Blasters,22,2000,6,107,18,5.9,17.6,1,61,0,5,9,7,0.86,0,1,-1,-0.84,-0.89,Matches,53,133,67,58.96,64.24,69.52,95,40.48
3,Gani Ahammed Nigam,in IND,MF,NorthEast Utd,24,1998,8,305,38,16.9,15.84,2,82,1,6,24,6,0.13,5,9,-4,-1.18,0.69,Matches,437,13,170,68.64,73.92,67.76,110,62.48
4,Alex,br BRA,MF,East Bengal,33,1988,17,1198,70,66.6,14.96,13,85,7,4,24,0,1.12,16,22,-6,-0.45,1.04,Matches,143,165,216,56.32,66,73.92,47,39.6
5,Ayush Mazumdar,in IND,DF,Goa,21,2000,20,1797,90,99.8,14.96,20,90,19,0,,0,1.35,35,35,0,0,-30,Matches,286,136,214,57.2,69.52,73.92,54,67.76
6,Faisal Ali,in IND,FW,Bengaluru,22,1999,0,,,,11.44,0,,0,0,,1,,,,,,,Matches,60,57,45,44.88,68.64,66.88,46,58.96
7,Rahim Ali,in IND,"MF,FW",Chennaiyin,22,2000,15,798,53,44.3,16.72,8,72,1,7,31,1,1.4,22,16,6,0.68,1.31,Matches,7,157,72,61.6,67.76,71.28,116,68.64
8,Wahengbam Angousana Luwang,in IND,MF,East Bengal,26,1996,1,2,2,0.1,11.44,0,,0,1,2,3,3,0,1,-1,-45,-44.25,Matches,334,98,108,63.36,61.6,68.64,52,49.28
9,Aniket Anil Jadhav,in IND,MF,Odisha,22,2000,5,85,17,4.7,9.68,0,,0,5,17,1,0.83,1,1,0,0,0.1,Matches,212,164,133,57.2,68.64,72.16,97,58.96
10,Aniket Anil Jadhav,in IND,MF,East Bengal,22,2000,6,193,32,10.7,15.84,0,,0,6,32,0,0.5,0,6,-6,-2.8,-2.24,Matches,64,205,177,97,66,65.12,107,54.56
11,Arsh Anwer,in IND,GK,Mohun Bagan,20,2002,0,,,,8.8,0,,0,0,,20,3,,,,,,Matches,297,204,125,53.68,73.04,71.28,50,59.84
12,Fares Al Arnaout,sy SYR,DF,Goa,25,1997,19,1016,53,56.4,11.44,12,72,7,7,22,0,1.42,26,17,9,0.8,1.72,Matches,148,64,221,51.92,69.52,66,46,63.36
13,Mohammad Asif Khan,in IND,MF,Mumbai City,21,2001,2,22,11,1.2,11.44,0,,0,2,11,1,1.5,0,1,-1,-4.09,-5.81,Matches,266,97,50,63.36,67.76,78.32,89,69.52
14,Leon Augustine,in IND,MF,Bengaluru,23,1998,5,146,29,8.1,11.44,1,82,0,4,16,15,0.6,0,2,-2,-1.23,-1.56,Matches,401,140,8,68.64,71.28,73.04,46,50.16
15,Sajal Bag,in IND,MF,Chennaiyin,19,2003,5,159,32,8.8,14.96,2,55,0,3,17,10,2.4,3,4,-1,-0.57,-0.57,Matches,327,148,148,49.28,66,72.16,97,49.28
16,Ravi Bahadur Rana,in IND,MF,Mohun Bagan,19,2002,1,6,6,0.3,8.8,0,,0,1,6,15,0,0,0,0,0,-0.35,Matches,281,175,154,60.72,65.12,65.12,111,62.48
17,Anwar Ali,in IND,DF,Jamshedpur,18,2003,1,81,81,4.5,5.6,1,81,0,0,,7,3,2,0,2,2.22,2.9,Matches,511,207,192,54.56,94.2,91.43,54,87.5
18,Vincy Barretto,in IND,"MF,FW",Chennaiyin,22,1999,16,974,61,54.1,11.44,12,73,3,4,24,1,1.25,16,18,-2,-0.18,-0.29,Matches,452,131,35,65.12,73.92,62.48,85,47.52
19,Edu Bedia,es ESP,MF,Goa,33,1989,18,1503,84,83.5,12.32,17,87,14,1,32,0,1.28,31,30,1,0.06,0.06,Matches,122,118,165,45.76,66.88,67.76,76,58.96
20,Joseba Beitia,es ESP,MF,NorthEast Utd,31,1990,5,450,90,25,14.96,5,90,5,0,,0,0.2,7,14,-7,-1.4,0.47,Matches,343,27,90,68.64,73.92,77.44,121,59.84
21,Emil Benny,in IND,"MF,FW",NorthEast Utd,21,2000,16,972,61,54,14.08,10,82,7,6,26,1,0.25,13,28,-15,-1.39,0.79,Matches,22,173,64,66.88,64.24,79.2,57,58.96
22,Hardik Bhatt,in IND,DF,Mumbai City,25,1997,1,88,88,4.9,14.96,1,88,0,0,,3,0,0,1,-1,-1.02,-2.81,Matches,438,146,107,44,71.28,65.12,51,62.48
23,Arindam Bhattacharya,in IND,GK,NorthEast Utd,33,1989,10,900,90,50,14.08,10,90,10,0,,9,0.36,13,30,-17,-1.7,0.1,Matches,333,86,240,66.88,72.16,69.52,82,54.56
24,Rahul Bheke,in IND,DF,Mumbai City,31,1990,15,1334,89,74.1,14.96,15,89,13,0,,0,2.35,44,13,31,2.09,1.71,Matches,457,33,229,65.12,69.52,74.8,109,41.36
25,Namgyal Bhutia,in IND,"DF,MF",Bengaluru,22,1999,10,858,86,47.7,17.6,10,86,8,0,,10,0.6,6,14,-8,-0.84,-1.99,Matches,258,174,47,57.2,71.28,74.8,86,54.56
26,Gaurav Bora,in IND,DF,NorthEast Utd,24,1998,14,1073,77,59.6,10.56,12,86,10,2,23,2,0.29,10,33,-23,-1.93,-0.44,Matches,424,13,175,46.64,63.36,81.84,112,57.2
27,Rowllin Borges,in IND,MF,Mumbai City,30,1992,15,388,26,21.6,15.84,2,72,0,13,19,5,2.13,6,3,3,0.7,-1.22,Matches,330,179,184,66,75.68,76.56,84,42.24
28,Subashish Bose,in IND,DF,Mohun Bagan,26,1995,19,1654,87,91.9,8.8,18,89,17,1,45,0,1.74,22,15,7,0.38,0.38,Matches,288,46,202,46.64,63.36,66.88,103,58.96
29,Hugo Boumous,fr FRA,"MF,FW",Mohun Bagan,27,1995,16,1245,78,69.2,12.32,15,82,3,1,12,0,1.95,16,11,5,0.36,0.04,Matches,198,19,124,62.48,68.64,80.96,62,45.76
30,Jessel Carneiro,in IND,DF,Kerala Blasters,32,1990,18,1184,66,65.8,9.68,13,86,11,5,12,2,1.32,15,21,-6,-0.46,-1.33,Matches,58,124,124,67.76,72.16,73.92,54,48.4
31,Souvik Chakrabarti,in IND,MF,East Bengal,35,1987,5,296,59,16.4,14.08,3,77,1,2,33,10,0.2,3,7,-4,-1.22,-0.5,Matches,340,132,160,67.76,70.4,75.68,101,55.44
32,Lalchungnunga Chhangte,in IND,MF,Hyderabad FC,21,2001,2,30,15,1.7,12.32,0,,0,2,15,5,1.5,1,0,1,3,2.03,Matches,370,31,124,63.36,73.04,65.12,122,71.28
33,Adrian Luna,in IND,"FW,MF",Mumbai City,24,1997,20,1633,82,90.7,14.6,20,82,5,0,,0,2.14,51,18,33,1.82,1.82,Matches,1165,550,420,47.52,90.55,84.65,69,44.88
34,Aman Chhetri,in IND,DF,Kerala Blasters,21,2001,20,1687,84,93.7,14.08,19,88,14,1,21,0,1.55,27,25,2,0.11,1.7,Matches,438,68,195,47.52,72.16,64.24,89,70.87
35,Ayush Chhetri,in IND,MF,Goa,19,2003,20,1251,63,69.5,14.08,16,72,2,4,26,0,1.35,29,22,7,0.5,1.49,Matches,360,37,34,67.76,66.88,61.6,107,50.16
36,Sunil Chhetri,in IND,"FW,MF",Bengaluru,37,1984,17,1052,62,58.4,17.6,12,82,6,5,13,3,1.57,11,14,-3,-0.26,-1.1,Matches,465,166,225,48.4,65.12,67.76,78,55.44
37,Ayush Chhikara,in IND,FW,Mumbai City,20,2002,3,72,24,4,11.44,1,45,0,2,14,6,0.75,1,0,1,1.25,-0.42,Matches,330,41,163,67.76,71.28,66.88,88,62.48
38,Joel Chianese,au AUS,MF,Hyderabad FC,32,1990,18,820,46,45.6,17.6,9,75,3,9,16,0,1.9,15,7,8,0.88,-0.22,Matches,465,156,163,64.24,71.28,62.48,96,52.8
39,Daniel Chima Chukwu,ng NGA,FW,Jamshedpur,31,1991,19,1451,76,80.6,13.2,17,81,9,2,40,0,1,18,23,-5,-0.31,1.24,Matches,28,12,67,44,74.8,70.4,67,66.88
40,Makan Chote,in IND,MF,Goa,22,2000,10,261,26,14.5,16.72,1,45,0,9,24,6,1.9,7,4,3,1.03,1.15,Matches,331,50,100,50.16,63.36,78.32,92,49.28
41,Farukh Choudhary,in IND,"MF,FW",Jamshedpur,25,1996,16,630,39,35,15.84,6,76,3,10,17,4,0.94,4,11,-7,-1,-0.69,Matches,315,183,94,62.48,74.8,67.76,79,56.32
42,Pratik Chowdhary,in IND,DF,Jamshedpur,32,1989,17,1275,75,70.8,16.72,14,87,13,3,20,2,1.12,17,19,-2,-0.14,1.4,Matches,486,138,120,66,67.76,68.64,72,54.56
43,Lal Chungnunga,in IND,DF,East Bengal,21,2000,19,1681,88,93.4,8.8,19,88,18,0,,0,0.84,20,38,-18,-0.96,-2.48,Matches,406,146,194,61.6,73.04,79.2,72,42.24
